"Time (s)","Radial Position (mm)","Radial Velocity (mm/s)","Radial Deflection (deg)","Slew Position (deg)","Slew Velocity (deg/s)","Tangential Deflection (deg)"
21,548,-0.02,1.54,305,-4.34,-1.16
21.04,548,-0.04,1.62,305,-4,-1.16
21.08,548,0.04,1.62,305,-3.81,-1.16
21.12,548,-0.04,1.62,305,-3.55,-1.23
21.16,548,0,1.62,306,-3.53,-1.23
21.2,548,0.02,1.62,306,-3.59,-1.31
21.24,548,-0.06,1.62,306,-3.72,-1.31
21.28,548,0.03,1.62,306,-3.93,-1.31
21.32,548,0.03,1.62,306,-3.78,-1.39
21.36,548,-0.08,1.62,306,-3.33,-1.39
21.4,548,0.04,1.62,306,-2.46,-1.39
